intent,query,answer
공과대학,학과 뭐 있어,"공과대학에는 건축공학과, 건축학과, 건설환경공학과, 환경에너지공간융합학과, 지구자원시스템공학과, 기계항공우주공학부, 나노신소재공학과, 양자원자력공학과, 국방시스템공학과, 항공시스템공학전공이 존재합니다."
공과대학,조교실 정보 좀,"공과대학 조교실 정보는 아래와 같습니다.
위치 : 충무관 407B호 / 전화 : 02-3408-3524"
공과대학,과사무실,"공과대학 과사무실 정보는 아래와 같습니다.
위치 : 충무관 407B호 / 전화 : 02-3408-3524"
공과대학,과사무실 위치,공과대학 과사무실 위치는 충무관 407B호입니다.
공과대학,과사무실 전화번호,공과대학 과사무실 전화번호는 02-3408-3524입니다.
건축공학과,조교실 정보 좀,"건축공학과 조교실 정보는 아래와 같습니다.
위치 : 충무관 719호 / 전화 : 02-3408-3331 / 이메일 : constdpt@sejong.ac.kr"
건축공학과,과사무실,"건축공학과 과사무실 정보는 아래와 같습니다.
위치 : 충무관 719호 / 전화 : 02-3408-3331 / 이메일 : constdpt@sejong.ac.kr"
건축공학과,과사무실 위치,건축공학과 과사무실 위치는 충무관 719호입니다.
건축공학과,과사무실 전화번호,건축공학과 과사무실 전화번호는 02-3408-3331입니다.
건축공학과,이메일,건축공학과 과사무실 이메일은 constdpt@sejong.ac.kr입니다.
건축공학과,홈페이지,"건축공학과 홈페이지입니다.
건축공학과 : http://home.sejong.ac.kr/~constdpt/"
건축공학과,공지사항,"건축공학과에서 제공하는 학과 공지사항입니다.
건축공학과 학과 공지사항 : http://home.sejong.ac.kr/gobbslist.do?wslID=constdpt&menuID=16"
건축공학과,학과소개,"교육의 내용은 대부분 현실과 밀접한 관련을 가지고 있으며 공학적, 기술적 지식을 기반으로 하여 건축환경 및 설비, 건축시공 및 재료, 건축구조 등 건축의 생산과정을 효율적으로 관리할 수 있는 능력의 배양에 중점을 두고 있습니다."
건축공학과,주전공,"전공필수과목은 27학점, 전공선택과목은 36점 이상 이수해야 하며, 전공학점은 63점 이상이어야 합니다."
건축공학과,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다. 복수전공 이수시 공학인증은 필수가 아니지만, 이수를 희망하면 각 학과의 PD교수님과 면담하여 각 학과에서 정한 기준을 만족하면 됩니다."
건축공학과,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다. 복수전공 이수시 공학인증은 필수가 아니지만, 이수를 희망하면 각 학과의 PD교수님과 면담하여 각 학과에서 정한 기준을 만족하면 됩니다."
건축공학과,부전공,"건축공학과 전공과목 중에서 21학점 이상 이수해야 합니다. 이수권장과목은 창의공학설계, 건축기초설계, 건축환경설계, 구조역학2, 건축시공, 공학설계A, 공학설계B입니다. 부전공 이수시 공학인증은 필수가 아닙니다."
건축공학과,1학년 전공,"건축공학과 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 건축공학개론(전필·3)
[2학기] 건축기초설계(전필·3)"
건축공학과,2학년 전공,"건축공학과 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 창의공학설계(전필·3), 건축구조시스템(전선·3), 건축환경개론(전선·3)
[2학기] 건축디지털설계(전필·3), 구조역학1(전필·3), 건축설비개론(전선·3)"
건축공학과,3학년 전공,"건축공학과 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 건축환경설계(전필·3), 구조역학2(전필·3), 건축일반구조(전선·3), 건축기계설비시스템(전선·3), 철근콘크리트공학(전선·3), 건설관리및경영(전선·3)
[2학기] 건축시공(전선·3), 건축법규(전선·3), 건축구조해석(전선·3), 건축환경설비해석(전선·3), 건축재료(전선·3), 특수구조개론(전선·3), 철근콘크리트설계(전선·3)"
