intent,query,answer
소프트웨어융합대학과,학과 뭐 있어,"소프트웨어융합대학에는 컴퓨터공학과, 정보보호학과, 정보보호학과, 데이터사이언스학과, 지능기전공학과, 디자인이노베이션전공, 만화애니메이션텍전공, 인공지능학과가 존재합니다."
소프트웨어융합대학과,조교실 정보 좀,"소프트웨어융합대학 조교실 정보는 아래와 같습니다.
위치 : 대양AI센터 401호 / 전화 : 02-3408-3527"
소프트웨어융합대학과,과사무실,"소프트웨어융합대학 과사무실 정보는 아래와 같습니다.
위치 : 대양AI센터 401호 / 전화 : 02-3408-3527"
소프트웨어융합대학과,과사무실 위치,소프트웨어융합대학 과사무실 위치는 대양AI센터 401호입니다.
소프트웨어융합대학과,과사무실 전화번호,소프트웨어융합대학 과사무실 전화번호는 02-3408-3527입니다.
컴퓨터공학과,조교실 정보 좀,"컴퓨터공학과 조교실 정보는 아래와 같습니다.
위치 : 대양AI센터 401호 / 전화 : 02-3408-3321"
컴퓨터공학과,과사무실,"컴퓨터공학과 과사무실 정보는 아래와 같습니다.
위치 : 대양AI센터 401호 / 전화 : 02-3408-3321"
컴퓨터공학과,과사무실 위치,컴퓨터공학과 과사무실 위치는 대양AI센터 401호입니다.
컴퓨터공학과,과사무실 전화번호,컴퓨터공학과 과사무실 전화번호는 02-3408-3321입니다.
컴퓨터공학과,홈페이지,"컴퓨터공학과 홈페이지입니다.
컴퓨터공학과 : http://home.sejong.ac.kr/~cedpt/"
컴퓨터공학과,공지사항,"컴퓨터공학과에서 제공하는 학과 공지사항입니다.
컴퓨터공학과 학과 공지사항 : http://home.sejong.ac.kr/~cedpt/32.html"
컴퓨터공학과,취업,"컴퓨터공학과에서 제공하는 취업공고입니다.
컴퓨터공학과 취업공고 : http://home.sejong.ac.kr/~cedpt/35.html"
컴퓨터공학과,학과소개,"컴퓨터학과는 컴퓨터구조와 설계를 다루는 하드웨어 분야, 전산기기를 효과적으로 사용하는 방법을 연구하는 소프트웨어 분야의 기본적인 개념을 익히고 이를 응용하는 능력을 배양하는 데 주안점을 두고 있습니다."
컴퓨터공학과,주전공,"전공필수과목은 33학점, 전공선택과목은 39점 이상 이수해야 하며, 전공학점은 72점 이상이어야 합니다."
컴퓨터공학과,복수전공,"전공필수과목은 12학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 36점 이상이어야 합니다. 전공필수과목은 C프로그래밍및실습, 알고리즘및실습, 자료구조및실습, 운영체제로 지정되어 있습니다. 복수전공 이수시 공학인증은 필수가 아니지만, 이수를 희망하면 각 학과의 PD교수님과 면담하여 각 학과에서 정한 기준을 만족하면 됩니다."
컴퓨터공학과,복전,"전공필수과목은 12학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 36점 이상이어야 합니다. 전공필수과목은 C프로그래밍및실습, 알고리즘및실습, 자료구조및실습, 운영체제로 지정되어 있습니다. 복수전공 이수시 공학인증은 필수가 아니지만, 이수를 희망하면 각 학과의 PD교수님과 면담하여 각 학과에서 정한 기준을 만족하면 됩니다."
컴퓨터공학과,부전공,컴퓨터공학과 전공과목 중에서 21학점 이상 이수해야 합니다. 부전공 이수시 공학인증은 필수가 아닙니다.
컴퓨터공학과,1학년 전공,"컴퓨터공학과 1학년 전공수업 목록은 아래와 같습니다.
[1학기] C프로그래밍및실습(전필·3)
[2학기] 고급C프로그래밍및실습(전필·3), 공학설계기초(산학프로젝트입문)(전필·3), 창의SW융합노마드(전선·3)"
