intent,query,answer
자연과학대학,뭐 있어,"자연과학대학에는 수학통계학과, 물리천문학과, 화학과가 존재합니다."
자연과학대학,조교실 정보 좀,"자연과학대학 조교실 정보는 아래와 같습니다.
위치 : 영실관 105A호 / 전화 : 02-3408-3523"
자연과학대학,과사무실 위치,자연과학대학 과사무실 위치는 영실관 105A호입니다.
자연과학대학,과사무실 전화번호,자연과학대학 과사무실 전화번호는 02-3408-3523입니다.
수학과통계학과,조교실 정보 좀,"수학통계학과 조교실 정보는 아래와 같습니다.
위치 : 영실관 313호 / 전화 : 02-3408-3315"
수학과통계학과,과사무실,"수학통계학과 과사무실 정보는 아래와 같습니다.
위치 : 영실관 313호 / 전화 : 02-3408-3315"
수학과통계학과,과사무실 위치,수학통계학과 과사무실 위치는 영실관 313호입니다.
수학과통계학과,과사무실 전화번호,수학통계힉과 과사무실 전화번호는 02-3408-3315입니다.
수학과통계학과,홈페이지,"수학통계학과 홈페이지입니다.
수학통계학과 : http://home.sejong.ac.kr/~appmath/"
수학과통계학과,공지사항,2019년도 이후로 수학통계학과 홈페이지에 올라온 공지사항이 없습니다. 자세한 사항은 과별 단톡방 혹은 다른 방식으로 참고해야 합니다.
수학과통계학과,전공소개,"수학통계학과에서는 순수 학문의 정통성과 함께 IT분야, 인공지능 및 기계학습분야, BT분야, 금융분야, 교육분야, 공학분야 등에 필요한 응용이론 및 컴퓨터 기반 분석기법을 교육하고 있습니다."
수학과통계학과,주전공,"전공필수과목은 24학점, 전공선택과목은 45점 이상 이수해야 하며, 전공학점은 69점 이상이어야 합니다."
수학과통계학과,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
수학과통계학과,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
수학과통계학과,부전공,수학통계힉과 전공과목 중에서 21학점 이상 이수해야 합니다.
수학과통계학과,1학년 전공,"수학통계학과 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 통계학1(전필·3)
[2학기] 통계학(전필·3)"
수학과통계학과,2학년 전공,"수학통계학과 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 선형대수학1(전필·3), 해석학개론1(전필·3), 계산수학1(전필·3), 전산통계실습(전선·3), 조합론(전선·3)
[2학기] 확률론(전필·3), 선형대수학2(전필·3), 해석학개론(전선·3), 미분방정식(전선·3), 프로그래밍실습(전선·3), 계산수학2(전선·3)"
수학과통계학과,3학년 전공,"수학통계학과 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 현대대수학1(전필·3), 회귀분석1(전선·3), 확률과정론(전선·3), 수리통계학1(전선·3), 기계학습(전선·3), 수치해석(전선·3), 표본조사론(전선·3)
[2학기] 수리통계학2(전선·3), 실험계획법(전선·3), 회귀분석2(전선·3), 비모수통계학(전선·3), 딥러닝(전선·3), 현대대수학2(전선·3), 정수론(전선·3), 복소수해석학(전선·3), 미분기하학개론(전선·3)"
수학과통계학과,4학년 전공,"수학통계학과 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), 다변량통계분석(전선·3), 범주형자료분석(전선·3), 보험수학(전선·3), 위상수학1(전선·3), 응용통계학특강1(전선·3)
[2학기] 졸업연구및진로2(전선·1), 통계자료분석(전선·3), 베이지안분석(전선·3), 시계열자료분석(전선·3), 수학사(전선·3), 응용통계학특강2(전선·3), 위상수학2(전선·3)"
