intent,query,answer
사회과학대학,학과 뭐 있어,"사회과학대학에는 행정학과, 미디어커뮤니케이션학과가 존재합니다."
사회과학대학,조교실 정보 좀,"사회과학대학 조교실 정보는 아래와 같습니다.
위치 : 집현관 602호 / 전화 : 02-3408-3521"
사회과학대학,과사무실,"사회과학대학 과사무실 정보는 아래와 같습니다.
위치 : 집현관 602호 / 전화 : 02-3408-3521"
사회과학대학,과사무실 위치,사회과학대학 과사무실 위치는 집현관 602호입니다.
사회과학대학,과사무실 전화번호,사회과학대학 과사무실 전화번호는 02-3408-3521입니다.
행정학과,조교실 정보 좀,"행정학과 조교실 정보는 아래와 같습니다.
위치 : 집현관 604호 / 전화 : 02-3408-3308"
행정학과,과사무실,"행정학과 조교실 과사무실 정보는 아래와 같습니다.
위치 : 집현관 604호 / 전화 : 02-3408-3308"
행정학과,과사무실 위치,행정학과 과사무실 위치는 집현관 604호입니다.
행정학과,과사무실 전화번호,행정학과 과사무실 전화번호는 02-3408-3308입니다.
행정학과,홈페이지,"행정학과 홈페이지입니다.
행정학과 : http://home.sejong.ac.kr/~admdpt/"
행정학과,공지사항,"행정학과에서 제공하는 학과 공지사항입니다. 
행정학과 학과 공지사항 : http://home.sejong.ac.kr/gobbslist.do?wslID=admdpt&menuID=5"
행정학과,전공소개,행정학과는 공공행정 정책에 관한 다양한 이론을 습득하고 이를 행정현장의 실제사례에 적용하도록 함으로써 이론 실무를 겸비한 행정전문가를 양성하고 있습니다. 특히 졸업 후에는 정부기관뿐만 아니라 국영기업체 및 민간 기업에 근무하면서 공공의 가치를 실현하는 우수인재로 성장할 수 있도록 다양한 교정을 편성하여 운영하고 있습니다.
행정학과,주전공,"전공필수과목은 15학점, 전공선택과목은 45점 이상 이수해야 하며, 전공학점은 60점 이상이어야 합니다."
행정학과,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
행정학과,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
행정학과,부전공,"행정학과 전공과목 중에서 21학점 이상 이수해야 합니다. 이수권장과목은 행정학과원론, 조직론, 인사행정론, 재무행정론, 정책론입니다."
행정학과,1학년 전공,"행정학과 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 정부와행정(전선·3)
[2학기] 행정학과원론(전필·3), 헌법학원론(전선·3)"
행정학과,2학년 전공,"행정학과 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 조직론1(전필·3), 인사행정론(전필·3), 통계패키지와행정분석(전선·3), 국제개발협력(전선·3), 지방행정론(전선·3)
[2학기] 재무행정론(전필·3), 조직론2(전선·3), 행정사(전선·3), 행정법(전선·3), 빅데이터와행정분석(전선·3), NGO와시민참여(전선·3)"
행정학과,3학년 전공,"행정학과 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 정책론(전필·3), 도시행정론(전선·3), 복지행정론(전선·3), 행정철학윤리(전선·3), 전자정부론(전선·3), 일반사회교교육론(전선·3)
[2학기] 기획론(전선·3), 행정관리론(전선·3), 행정규제론(전선·3), 행정개혁론(전선·3), 일반사회교교재연구및지도법(전선·3), 일반사회논리및논술(전선·3), 국제행정론(전선·3)"
행정학과,4학년 전공,"행정학과 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), 공기업론(전선·3), 행정학과연습(전선·3), 공법연습(전선·3), 공공거버넌스와네트워크(전선·3), 정책분석평가론(전선·3), 행정학과전공인턴십1(전선·3)
[2학기] 졸업연구및진로2(전선·1), 한국행정론(전선·3), 정책사례분석(전선·3), 관료제도론(전선·3), 행정학과전공인턴십2(전선·3)"
행정학과,전공,"행정학과 전학년 전공수업 목록은 아래와 같습니다.
[1학년 1학기] 정부와행정(전선·3)
[1학년 2학기] 행정학과원론(전필·3), 헌법학원론(전선·3)
[2학년 1학기] 조직론1(전필·3), 인사행정론(전필·3), 통계패키지와행정분석(전선·3), 국제개발협력(전선·3), 지방행정론(전선·3)
[2학년 2학기] 재무행정론(전필·3), 조직론2(전선·3), 행정사(전선·3), 행정법(전선·3), 빅데이터와행정분석(전선·3), NGO와시민참여(전선·3)
[3학년 1학기] 정책론(전필·3), 도시행정론(전선·3), 복지행정론(전선·3), 행정철학윤리(전선·3), 전자정부론(전선·3), 일반사회교교육론(전선·3)
[3학년 2학기] 기획론(전선·3), 행정관리론(전선·3), 행정규제론(전선·3), 행정개혁론(전선·3), 일반사회교교재연구및지도법(전선·3), 일반사회논리및논술(전선·3), 국제행정론(전선·3)
[4학년 1학기] 졸업연구및진로1(전선·1), 공기업론(전선·3), 행정학과연습(전선·3), 공법연습(전선·3), 공공거버넌스와네트워크(전선·3), 정책분석평가론(전선·3), 행정학과전공인턴십1(전선·3)
[4학년 2학기] 졸업연구및진로2(전선·1), 한국행정론(전선·3), 정책사례분석(전선·3), 관료제도론(전선·3), 행정학과전공인턴십2(전선·3)"
미디어커뮤니케이션학과,조교실 정보 좀,"미디어커뮤니케이션학과 조교실 정보는 아래와 같습니다.
위치 : 집현관 506호 / 전화 : 02-3408-3307"
미디어커뮤니케이션학과,조교실 정보 좀,"미디어커뮤니케이션학과 과사무실 정보는 아래와 같습니다.
위치 : 집현관 506호 / 전화 : 02-3408-3307"
미디어커뮤니케이션학과,과사무실 위치,미디어커뮤니케이션학과 과사무실 위치는 집현관 506호입니다.
미디어커뮤니케이션학과,과사무실 전화번호,미디어커뮤니케이션학과 과사무실 전화번호는 02-3408-3307입니다.
미디어커뮤니케이션학과,홈페이지,"미디어커뮤니케이션학과 홈페이지입니다.
미디어커뮤니케이션학과 : http://home.sejong.ac.kr/~nnbdpt/"
미디어커뮤니케이션학과,공지사항,미디어커뮤니케이션학과 홈페이지에 올라온 공지사항이 없습니다. 자세한 사항은 별 단톡방 혹은 다른 방식으로 참고해야 합니다.
미디어커뮤니케이션학과,전공소개,미디어커뮤니케이션학과는 그간 축적해온 연구 및 교육성를 토대로 ‘미디어 전략 커뮤니케이션’ ‘인터렉션 미디어 커뮤니케이션’ 분야를 새로이 접목시킵니다.. 미디어커뮤니케이션학과는 미디어 커뮤니케이션 분야의 미래 산업 변화에 발맞춰 이론교육 실무교육을 집중합니다.
미디어커뮤니케이션학과,주전공,"전공필수과목은 21학점, 전공선택과목은 45점 이상 이수해야 하며, 전공학점은 66점 이상이어야 합니다."
미디어커뮤니케이션학과,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
미디어커뮤니케이션학과,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
미디어커뮤니케이션학과,부전공,"미디어커뮤니케이션학과 전공과목 중에서 21학점 이상 이수해야 합니다. 이수권장과목은 커뮤니케이션이론, 커뮤니케이션조사방법론, 커뮤니케이션통계실무, 조직커뮤니케이션, 광고PR개론입니다."
미디어커뮤니케이션학과,1학년 전공,"미디어커뮤니케이션학과 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 인간커뮤니케이션(전필·3)
[2학기] 광고PR개론(전필·3), 미디어의이해(전필·3)"
미디어커뮤니케이션학과,2학년 전공,"미디어커뮤니케이션학과 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 커뮤니케이션이론(전필·3), 광고매체기획(전선·3), 디지털퍼블리싱(전선·3), 미디어발달사(전선·3), 방송기획(전선·3), 어플리케이션기획(전선·3), 정보리터러시(전선·3)
[2학기] 커뮤니케이션조사방법론(전필·3), HCI와커뮤니케이션(전선·3), 소셜미디어와가십(전선·3), OTT미디어론(전선·3), 영상콘텐츠제작기초(전선·3), 취재보도론(전선·3), 통합마케팅커뮤니케이션기획(전선·3)"
미디어커뮤니케이션학과,3학년 전공,"미디어커뮤니케이션학과 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 커뮤니케이션통계실무(전필·3), PR론(전선·3), 대중문화론(전선·3), 디지털미디어와사회(전선·3), 디지털저널리즘(전선·3), 스타인플루언서마케팅(전선·3), 카피라이팅(전선·3)
[2학기] 조직커뮤니케이션(전필·3), PR캠페인기획(전선·3), SNS전략커뮤니케이션(전선·3), 뉴스큐레이션(전선·3), 실감미디어컨텐츠제작(전선·3), 미디어산업정책(전선·3)"
미디어커뮤니케이션학과,4학년 전공,"미디어커뮤니케이션학과 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), IMC전략소비자(전선·3), 미디어학(전선·3), 미디어법제(전선·3), 미디어빅데이터활용(전선·3), 영상제작워크샵(전선·3), 콘텐츠글쓰기(전선·3)
[2학기] 졸업연구및진로2(전선·1), 매체비평론(전선·3), 미디어커뮤니케이션전공인턴십(전선·3), 브랜드콘텐츠제작(전선·3), 프리젠테이션실습(전선·3), 헬스커뮤니케이션(전선·3)"
미디어커뮤니케이션학과,전공,"미디어커뮤니케이션학과 전학년 전공수업목록은 아래와 같습니다.
[1학년 1학기] 인간커뮤니케이션(전필·3)
[1학년 2학기] 광고PR개론(전필·3), 미디어의이해(전필·3)
[2학년 1학기] 커뮤니케이션이론(전필·3), 광고매체기획(전선·3), 디지털퍼블리싱(전선·3), 미디어발달사(전선·3), 방송기획(전선·3), 어플리케이션기획(전선·3), 정보리터러시(전선·3)
[2학년 2학기] 커뮤니케이션조사방법론(전필·3), HCI와커뮤니케이션(전선·3), 소셜미디어와가십(전선·3), OTT미디어론(전선·3), 영상콘텐츠제작기초(전선·3), 취재보도론(전선·3), 통합마케팅커뮤니케이션기획(전선·3)
[3학년 1학기] 커뮤니케이션통계실무(전필·3), PR론(전선·3), 대중문화론(전선·3), 디지털미디어와사회(전선·3), 디지털저널리즘(전선·3), 스타인플루언서마케팅(전선·3), 카피라이팅(전선·3)
[3학년 2학기] 조직커뮤니케이션(전필·3), PR캠페인기획(전선·3), SNS전략커뮤니케이션(전선·3), 뉴스큐레이션(전선·3), 실감미디어컨텐츠제작(전선·3), 미디어산업정책(전선·3) 
[4학년 1학기] 졸업연구및진로1(전선·1), IMC전략소비자(전선·3), 미디어학(전선·3), 미디어법제(전선·3), 미디어빅데이터활용(전선·3), 영상제작워크샵(전선·3), 콘텐츠글쓰기(전선·3)
[4학년 2학기] 졸업연구및진로2(전선·1), 매체비평론(전선·3), 미디어커뮤니케이션전공인턴십(전선·3), 브랜드콘텐츠제작(전선·3), 프리젠테이션실습(전선·3), 헬스커뮤니케이션(전선·3)"
