intent,query,answer
경영경제대학과,학과 뭐 있어,"경영경제대학에는 경제학과, 경영학전공이 존재합니다."
경영경제대학과,조교실 정보 좀,"경영경제대학 조교실 정보는 아래와 같습니다.
위치 : 광개토관 809호 / 전화 : 02-3408-3486"
경영경제대학과,조교실 정보 좀,"경영경제대학 과사무실 정보는 아래와 같습니다.
위치 : 광개토관 809호 / 전화 : 02-3408-3486"
경영경제대학과,과사무실 위치,경영경제대학 과사무실 위치는 광개토관 809호입니다.
경영경제대학과,과사무실 전화번호,경영경제대학 과사무실 전화번호는 02-3408-3486입니다.
경제학과,조교실 정보 좀,"경제학과 조교실 정보는 아래와 같습니다.
위치 : 광개토관 704B호 / 전화 : 02-3408-3306"
경제학과,과사무실,"경제학과 과사무실 정보는 아래와 같습니다.
위치 : 광개토관 704B호 / 전화 : 02-3408-3306"
경제학과,과사무실 위치,경제학과 과사무실 위치는 광개토관 704B호입니다.
경제학과,과사무실 전화번호,경제학과 과사무실 전화번호는 02-3408-3306입니다.
경제학과,홈페이지,"경제학과 홈페이지입니다.
경제학과 : http://home.sejong.ac.kr/~entdpt/"
경제학과,공지사항,"경제학과에서 제공하는 학과 공지사항입니다.
경제학과 학과 공지사항 : http://home.sejong.ac.kr/~entdpt/5.html"
경제학과,전공소개,"경제학과는 경제이론 이해 능력, 수리, 통계, 코딩 능력, 역사 및 철학적 조예, 현안 파악과 전략적 사고력을 갖춘 통섭적 인재를 키우는 것을 교육 목표로 합니다. 경제학은 다양한 분야에서 전문가가 될 수 있는 기초 소양을 제공할 뿐 아니라, 시대 흐름을 통찰하는 지도자적 자질을 키우는 데에도 필수적인 학문입니다."
경제학과,주전공,"전공필수과목은 24학점, 전공선택과목은 48점 이상 이수해야 하며, 전공학점은 72점 이상이어야 합니다."
경제학과,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
경제학과,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
경제학과,부전공,"경제학과 전공과목 중 21학점 이상 이수해야 합니다. 이수권장과목은 미시경제학, 거시경제학, 기초경제수학, 계량경제학입니다."
경제학과,1학년 전공,"경제학과 1학년 전공수업 목록은 아래와 같습니다.
[1학기] 경제원론1(전필·3), 기초경제수학(전선·3), 경제실무영어(전선·3)
[2학기] 경제원론2(전필·3), 경제수학(전필·3)"
경제학과,2학년 전공,"경제학과 2학년 전공수업 목록은 아래와 같습니다.
[1학기] 미시경제학(전필·3), 경제통계(전필·3), 경제사(전선·3), 경제논술(전선·3), 무역실무(전선·3)
[2학기] 거시경제학(전필·3), 경제발전론(전선·3), 기업경제학(전선·3), 경제학설사(전선·3)"
경제학과,3학년 전공,"경제학과 3학년 전공수업 목록은 아래와 같습니다.
[1학기] 계량경제학(전필·3), 화폐금융론(전선·3), 공공경제학(전선·3), 빅데이터론(전선·3), 한국경제론(전선·3), 국제무역론(전선·3), 일반사회교과교육론(전선·3), 경제통합론(전선·3)
[2학기] 국제금융론(전선·3), 도시지역경제학(전선·3), 게임이론(전선·3), 산업조직론(전선·3), 응용계량경제학(전선·3), 파생금융상품론(전선·3), 일반사회교과교재연구및지도법(전선·3), 일반사회논리및논술(전선·3)"
경제학과,4학년 전공,"경제학과 4학년 전공수업 목록은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), 경제사상과현대사회(전선·3), 보건의료경제학(전선·3), 노동경제학(전선·3), 문화경제학(전선·3), 경제학세미나(전선·3), 금융경제범죄론(전선·3)
[2학기]졸업연구및진로2(전선·1), 안보경제론(전선·3), 물류유통경제론(전선·3), 자산관리경제학(전선·3), 환경자원경제학(전선·3), 인구와경제(전선·3), 기술혁신경제학(전선·3)"
경제학과,전공,"경제학과 전학년 전공수업 목록은 아래와 같습니다.
[1학년 1학기] 경제원론1(전필·3), 기초경제수학(전선·3), 경제실무영어(전선·3)
[1학년 2학기] 경제원론2(전필·3), 경제수학(전필·3)
[2학년 1학기] 미시경제학(전필·3), 경제통계(전필·3), 경제사(전선·3), 경제논술(전선·3), 무역실무(전선·3)
[2학년 2학기] 거시경제학(전필·3), 경제발전론(전선·3), 기업경제학(전선·3), 경제학설사(전선·3)
[3학년 1학기] 계량경제학(전필·3), 화폐금융론(전선·3), 공공경제학(전선·3), 빅데이터론(전선·3), 한국경제론(전선·3), 국제무역론(전선·3), 일반사회교과교육론(전선·3), 경제통합론(전선·3)
[3학년 2학기] 국제금융론(전선·3), 도시지역경제학(전선·3), 게임이론(전선·3), 산업조직론(전선·3), 응용계량경제학(전선·3), 파생금융상품론(전선·3), 일반사회교과교재연구및지도법(전선·3), 일반사회논리및논술(전선·3)
[4학년 1학기] 졸업연구및진로1(전선·1), 경제사상과현대사회(전선·3), 보건의료경제학(전선·3), 노동경제학(전선·3), 문화경제학(전선·3), 경제학세미나(전선·3), 금융경제범죄론(전선·3)
[4학년 2학기]졸업연구및진로2(전선·1), 안보경제론(전선·3), 물류유통경제론(전선·3), 자산관리경제학(전선·3), 환경자원경제학(전선·3), 인구와경제(전선·3), 기술혁신경제학(전선·3)"
경영학전공,조교실 정보 좀,"경영학전공 조교실 정보는 아래와 같습니다.
위치 : 광개토관 317호 / 전화 : 02-3408-3311 / 이메일 : mnadpt@sejong.ac.kr"
경영학전공,과사무실,"경영학전공 과사무실 정보는 아래와 같습니다.
위치 : 광개토관 317호 / 전화 : 02-3408-3311 / 이메일 :  mnadpt@sejong.ac.kr"
경영학전공,과사무실 위치,경영학전공 과사무실 위치는 광개토관 317호입니다.
경영학전공,과사무실 전화번호,경영학전공 과사무실 전화번호는 02-3408-3311입니다.
