intent,query,answer
생명과학대학,학과 뭐 있어,"생명학대학에는 식품생명공학전공, 바이오융합공학전공, 바이오산업자원공학전공, 스마트생명산업융합학과가 존재합니다."
생명과학대학,조교실 정보 좀,"생명학대학 조교실 정보는 아래와 같습니다.
위치 : 율곡관 407호 / 전화 : 02-3408-3518"
생명과학대학,과사무실,"생명학대학 과사무실 정보는 아래와 같습니다.
위치 : 율곡관 407호 / 전화 : 02-3408-3518"
생명과학대학,과사무실 위치,생명학대학 과사무실 위치는 율곡관 407호입니다. 
생명과학대학,과사무실 전화번호,생명학대학 과사무실 전화번호는 02-3408-3518입니다.
생명시스템학부,조교실 정보 좀,"생명시스템학부 조교실 정보는 아래와 같습니다.
위치 :  충무관 612호 / 전화 : 02-3408-3334"
생명시스템학부,과사무실,"생명시스템학부 과사무실 정보는 아래와 같습니다.
위치 :  충무관 612호 / 전화 : 02-3408-3334"
생명시스템학부,과사무실 위치,생명시스템학부 과사무실 위치는 충무관 612호입니다.
생명시스템학부,과사무실 전화번호,생명시스템학부 과사무실 전화번호는 02-3408-3334입니다.
생명시스템학부,홈페이지,"생명시스템학부 홈페이지입니다.
생명시스템학부 : http://home.sejong.ac.kr/~biolodpt/"
생명시스템학부,전공,"생명시스템학부의 신입생은 공동으로 입학하여 1학년 과정을 함께 이수한 후, 2학년부터는 3개의 전공 중 한 전공에 편입되어 남은 6학기 과정을 마치게 됩니다. 3개의 전공은 식품생명공학전공, 바이오융합공학전공, 바이오산업자원공학전공입니다."
생명시스템학부,1학년 전공 ,"생명시스템학부 1학년 수업 전공과목록은 아래와 같습니다.
[1학기] 일반생물학1(전필·3)
[2학기] 일반생물학2(전필·3), 기초생물통계학(전선·3)"
식품생명공학전공,조교실 정보 좀,"식품생명공학전공 조교실 정보는 아래와 같습니다.
위치 : 율곡관 407호 / 전화 : 02-3408-3319"
식품생명공학전공,과사무실,"식품생명공학전공 과사무실 정보는 아래와 같습니다.
위치 : 율곡관 407호 / 전화 : 02-3408-3319"
식품생명공학전공,과사무실 위치,식품생명공학전공 과사무실 위치는 율곡관 407호입니다.
식품생명공학전공,과사무실 전화번호,식품생명공학전공 과사무실 전화번호는 02-3408-3319입니다.
식품생명공학전공,홈페이지,"식품생명공학전공 홈페이지입니다.
식품생명공학전공 : http://home.sejong.ac.kr/~fooddpt/"
식품생명공학전공,공지사항,2020년 이후 식품생명공학전공 홈페이지에 올라온 공지사항이 없습니다. 자세한 사항은 별 단톡방 혹은 다른 방식으로 참고해야 합니다.
식품생명공학전공,전공소개,"식품생명공학전공 분야는 인간의 생활에 필수적으로 요구되는 에너지, 영양소 및 각종 기능성 생리활성 성분을 공급하는 식품의 물리화학적 성질, 저장, 가공, 안정성, 위생, 건강에 미치는 영향 등에 필요한 이론 관련 기술을 다루는 생물, 화학, 공학 등을 기초로 하는 종합학 분야이자 생명공학, 유학 및 전자공학 등을 응용하는 융합학입니다."
식품생명공학전공,주전공,"전공필수과목은 21학점, 전공선택과목은 51점 이상 이수해야 하며, 전공학점은 72점 이상이어야 합니다."
식품생명공학전공,복수전공,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
식품생명공학전공,복전,"전공필수과목은 15학점, 전공선택과목은 24점 이상 이수해야 하며, 전공학점은 39점 이상이어야 합니다."
식품생명공학전공,부전공,"식품생명공학전공 전공과목 중에서 21학점 이상 이수해야 합니다. 이수권장과목은 생화학, 식품미생물학, 식품화학1, 식품공학, 유기화학입니다."
식품생명공학전공,2학년 전공 ,"식품생명공학전공 2학년 수업 전공과목록은 아래와 같습니다.
[1학기] 유기화학(전필·3), 생물리화학(전선·3), 일반미생물학및실험(전선·3)
[2학기] 생화학(전필·3), 식품미생물학(전필·3), 식품가공기초(전선·3), 영양화학(전선·3)"
식품생명공학전공,3학년 전공 ,"식품생명공학전공 3학년 수업 전공과목록은 아래와 같습니다.
[1학기] 식품화학1(전필·3), 식품공학(전필·3), 식품저장학(전선·3), 식품위해미생물학및실험(전선·3), 식품가공학및실험(종합설계)(전선·3), 기능성식품학(전선·3), 동물생명식품학(전선·3), 식품생물공학(전선·3)
[2학기] 식품화학2및실험(전선·3), 식품공정학및실험(전선·3), 식품포장학(전선·3), 식품분자생물학및실험(전선·3), 향미화학및관능평가(전선·3), 식품개발및실험(종합설계)(전선·3), 식품생명공학전공연구실습(전선·3), 식품기기분석(전선·3), 산학인턴실습1(전선·3)"
식품생명공학전공,4학년 전공 ,"식품생명공학전공 4학년 수업 전공과목록은 아래와 같습니다.
[1학기] 졸업연구및진로1(전선·1), 향장식품소재공학(전선·3), 식품효소공학(전선·3), 식품첨가물학(전선·3), 식품물성및텍스처(전선·3), 식품냉동학(전선·3), 산학인턴실습2(전선·3), 식품분석및실험(전선·3)
[2학기] 졸업연구및진로2(전선·1), 발효생명공학(전선·3), 나노식품공학(전선·3), 식품생명산업마케팅(전선·3), 식품품질관리(전선·3), 최신식품생명동향연구(전선·3), 식품안전및법규(전선·3)"
